"idx","token","type"
12,"yoyo","O"
12,"amidst","O"
12,"ouch","O"
12,"drat","O"
12,"after","O"
12,"because","O"
12,"snowflake","O"
12,"which","O"
12,"aw","O"
12,"mark","B-CT"
12,"a","I-CT"
12,"todo","I-CT"
12,"anti","B-CNT"
12,"wherever","I-CNT"
12,"supposing","I-CNT"
12,"uh-huh","I-CNT"
12,"for","I-CNT"
12,"dim","I-CNT"
12,"grace","I-CNT"
12,"afore","I-CNT"
12,"fight","I-CNT"
12,"moreover","O"
12,"physical","O"
12,"clever","O"
12,"emulate","O"
12,"chronicle","O"
12,"rightfully","O"
12,"but","O"
12,"add","B-AT"
12,"a","I-AT"
12,"todo","I-AT"
12,"with","O"
12,"content","O"
12,"towards","B-CNT"
12,"into","I-CNT"
12,"inasmuch","I-CNT"
12,"tout","I-CNT"
12,"subordinate","I-CNT"
12,"intensely","I-CNT"
12,"too","I-CNT"
13,"drat","O"
13,"very","O"
13,"mid","O"
13,"for","O"
13,"mine","O"
13,"what","O"
13,"todo","O"
13,"todo","O"
13,"using","O"
13,"pfft","O"
13,"cleave","O"
13,"and","O"
13,"tap","O"
14,"corrupt","O"
14,"rustle","O"
14,"yowza","O"
14,"estuary","O"
14,"create","B-AT"
14,"a","I-AT"
14,"todo","I-AT"
14,"named","O"
14,"'","O"
14,"alert","B-CNT"
14,"vacantly","I-CNT"
14,"which","I-CNT"
14,"ill-informed","I-CNT"
14,"impressionable","I-CNT"
14,"though","I-CNT"
14,"outlook","I-CNT"
14,"monthly","I-CNT"
14,"'","O"
14,"and","O"
14,"misrepresentation","O"
14,"steer","O"
14,"for","O"
14,"after","O"
14,"likewise","O"
14,"oof","O"
14,"aha","O"
14,"create","B-AT"
14,"a","I-AT"
14,"todo","I-AT"
14,"named","O"
14,"and","B-CNT"
14,"when","I-CNT"
14,"preoccupation","I-CNT"
14,"ha","I-CNT"
14,"because","I-CNT"
14,"finally","I-CNT"
15,"under","O"
15,"yahoo","O"
15,"decoy","O"
15,"exhume","O"
15,"complete","B-CT"
15,"todo","I-CT"
15,"with","O"
15,"known","B-CNT"
15,"boo","I-CNT"
15,"tonight","I-CNT"
15,"slippery","I-CNT"
15,"acquisition","I-CNT"
15,"hazel","I-CNT"
15,"plus","I-CNT"
15,"well-worn","I-CNT"
15,"kindly","I-CNT"
15,"and","O"
15,"spay","O"
15,"delete","B-RT"
15,"a","I-RT"
15,"todo","I-RT"
15,"named","O"
15,"abolishment","B-CNT"
15,"blah","I-CNT"
15,"around","I-CNT"
15,"moreover","O"
15,"burden","O"
15,"scaffold","O"
15,"absent","O"
15,"destroy","B-RT"
15,"a","I-RT"
15,"todo","I-RT"
15,"with","O"
15,"mortally","B-CNT"
15,"desensitize","I-CNT"
15,"pack","I-CNT"
15,"resolve","I-CNT"
15,"pro","I-CNT"
15,"pro","I-CNT"
15,"gruesome","I-CNT"
16,"during","O"
16,"gosh","O"
16,"yet","O"
16,"an","O"
16,"fig","O"
16,"to","O"
16,"after","O"
16,"phew","O"
16,"mark","B-CT"
16,"a","I-CT"
16,"todo","I-CT"
16,"where","O"
16,"angelic","B-CNT"
16,"outside","I-CNT"
16,"beside","I-CNT"
16,"for","I-CNT"
16,"then","O"
16,"as","O"
16,"greedily","O"
16,"outside","O"
16,"term","O"
16,"mechanically","O"
16,"geez","O"
16,"without","O"
16,"perfectly","O"
16,"delete","B-RT"
16,"todo","I-RT"
16,"'","O"
16,"whereas","B-CNT"
16,"questionable","I-CNT"
16,"blah","I-CNT"
16,"be","I-CNT"
16,"gadzooks","I-CNT"
16,"tattered","I-CNT"
16,"ugh","I-CNT"
16,"'","O"
17,"oats","O"
17,"as","O"
17,"faint","O"
17,"wholly","O"
17,"yet","O"
17,"diligent","O"
17,"grandmother","O"
17,"complete","B-CT"
17,"a","I-CT"
17,"todo","I-CT"
17,"with","O"
17,"content","O"
17,"but","B-CNT"
17,"slushy","I-CNT"
17,"because","I-CNT"
17,"informal","I-CNT"
17,"pish","I-CNT"
17,"for","I-CNT"
17,"detainment","I-CNT"
17,"orderly","I-CNT"
17,"moreover","O"
17,"blab","O"
17,"unfreeze","O"
17,"upwardly","O"
17,"qua","O"
17,"ride","O"
17,"product","O"
17,"an","O"
17,"create","B-AT"
17,"a","I-AT"
17,"todo","I-AT"
17,"using","O"
17,"at","B-CNT"
17,"than","I-CNT"
17,"naturally","I-CNT"
17,"triangular","I-CNT"
17,"boo","I-CNT"
17,"gracefully","I-CNT"
17,"unhitch","I-CNT"
17,"regularly","I-CNT"
17,"blissful","I-CNT"
17,"psst","I-CNT"
17,".","O"
17,"afore","O"
17,"throughout","O"
17,"ack","O"
17,"incidentally","O"
17,"scruple","O"
17,"flamboyant","O"
17,"remove","B-RT"
17,"todo","I-RT"
17,"with","O"
17,"content","O"
17,"'","O"
17,"atop","B-CNT"
17,"ugh","I-CNT"
17,"until","I-CNT"
17,"sousaphone","I-CNT"
17,"'","O"
18,"group","O"
18,"amongst","O"
18,"however","O"
18,"plan","O"
18,"whether","O"
18,"lest","O"
18,"lag","O"
18,"upwardly","O"
18,"complete","B-CT"
18,"a","I-CT"
18,"todo","I-CT"
18,"named","O"
18,"'","O"
18,"anenst","B-CNT"
18,"whopping","I-CNT"
18,"ha","I-CNT"
18,"hemp","I-CNT"
18,"though","I-CNT"
18,"sometimes","I-CNT"
18,"supposing","I-CNT"
18,"fruit","I-CNT"
18,"fetch","I-CNT"
18,"whereas","I-CNT"
18,"'","O"
19,"so","O"
19,"unto","O"
19,"impish","O"
19,"yum","O"
19,"astrakhan","O"
19,"below","O"
19,"add","B-AT"
19,"todo","I-AT"
19,"named","O"
19,"'","O"
19,"gah","B-CNT"
19,"apropos","I-CNT"
19,"wade","I-CNT"
19,"curvy","I-CNT"
19,"quaintly","I-CNT"
19,"frugal","I-CNT"
19,"activist","I-CNT"
19,"'","O"
19,"and","O"
19,"from","O"
19,"considering","O"
19,"ew","O"
19,"rotating","O"
19,"till","O"
19,"till","O"
19,"beyond","O"
19,"generate","B-AT"
19,"a","I-AT"
19,"todo","I-AT"
19,"named","O"
19,"tumble","B-CNT"
19,"questioningly","I-CNT"
19,"and","O"
19,"instead","O"
19,"worrisome","O"
19,"octavo","O"
19,"blubber","O"
19,"after","O"
19,"vandalise","O"
19,"till","O"
19,"yummy","O"
19,"complete","B-CT"
19,"todo","I-CT"
19,"named","O"
19,"reproachfully","B-CNT"
19,"survivor","I-CNT"
19,"airfare","I-CNT"
20,"irritate","O"
20,"create","B-AT"
20,"a","I-AT"
20,"todo","I-AT"
20,"pursue","B-CNT"
20,"doorbell","I-CNT"
20,"amongst","I-CNT"
20,"once","I-CNT"
20,"underneath","I-CNT"
20,"plus","I-CNT"
20,"out","I-CNT"
20,".","O"
20,"revise","O"
20,"while","O"
20,"for","O"
20,"ick","O"
20,"espadrille","O"
20,"crayon","O"
20,"than","O"
20,"immediately","O"
20,"indeed","O"
20,"todo","O"
20,"todo","O"
20,"with","O"
20,"overdue","O"
20,"esteemed","O"
20,"musty","O"
20,"want","O"
20,"oddly","O"
20,"recruit","O"
20,"after that","O"
20,"glint","O"
20,"create","B-AT"
20,"todo","I-AT"
20,"where","O"
20,"irritably","B-CNT"
20,"pfft","I-CNT"
21,"bah","O"
21,"ick","O"
21,"done","B-CT"
21,"todo","I-CT"
21,"where","O"
21,"robust","B-CNT"
21,"to","I-CNT"
21,"cautiously","I-CNT"
21,"fond","I-CNT"
21,"certainly","I-CNT"
21,"uselessly","I-CNT"
21,"bubbly","I-CNT"
21,"wherever","I-CNT"
21,"strap","I-CNT"
21,"then","O"
21,"finally","O"
21,"ick","O"
21,"where","O"
21,"by","O"
21,"joyous","O"
21,"delete","B-RT"
21,"todo","I-RT"
21,"containing","O"
21,"'","O"
21,"destiny","B-CNT"
21,"blushing","I-CNT"
21,"doubtfully","I-CNT"
21,"minor","I-CNT"
21,"hence","I-CNT"
21,"on","I-CNT"
21,"'","O"
22,"torment","O"
22,"zowie","O"
22,"broadcast","O"
22,"per","O"
22,"hmph","O"
22,"loyally","O"
22,"which","O"
22,"todo","O"
22,"with","O"
22,"'","O"
22,"thump","O"
22,"huzzah","O"
22,"drat","O"
22,"'","O"
22,"and","O"
22,"surprise","O"
22,"oily","O"
22,"violently","O"
22,"generate","B-AT"
22,"todo","I-AT"
22,"with","B-CNT"
22,"grandiose","I-CNT"
22,"fumbling","I-CNT"
22,"mean","I-CNT"
22,"swipe","I-CNT"
22,"after that","O"
22,"famously","O"
22,"josh","O"
22,"meddle","O"
22,"undervalue","O"
22,"mark","B-CT"
22,"todo","I-CT"
22,"'","O"
22,"dimpled","B-CNT"
22,"why","I-CNT"
22,"lilac","I-CNT"
22,"phew","I-CNT"
22,"on","I-CNT"
22,"though","I-CNT"
22,"editing","I-CNT"
22,"crown","I-CNT"
22,"'","O"
23,"bud","O"
23,"provided","O"
23,"robin","O"
23,"calculation","O"
23,"destroy","B-RT"
23,"a","I-RT"
23,"todo","I-RT"
23,"using","O"
23,"morph","B-CNT"
23,"far","I-CNT"
23,"if","I-CNT"
23,"adventurously","I-CNT"
23,"boo","I-CNT"
23,"yet","I-CNT"
23,"when","I-CNT"
23,"jovial","I-CNT"
23,"when","I-CNT"
23,"moreover","O"
23,"zany","O"
23,"phew","O"
23,"intensely","O"
23,"where","O"
23,"doubtfully","O"
23,"default","O"
23,"under","O"
23,"ethyl","O"
23,"mmm","O"
23,"add","B-AT"
23,"todo","I-AT"
23,"with","O"
23,"heist","B-CNT"
23,"violin","I-CNT"
23,"over","I-CNT"
23,"cleanse","I-CNT"
23,"invent","I-CNT"
23,"peanut","I-CNT"
23,"oddly","I-CNT"
23,"jubilantly","I-CNT"
23,"moreover","O"
23,"huzzah","O"
23,"fairly","O"
23,"correctly","O"
23,"flexibility","O"
23,"painfully","O"
23,"athwart","O"
23,"generate","B-AT"
23,"todo","I-AT"
23,"helplessly","B-CNT"
23,"pace","I-CNT"
23,"although","I-CNT"
23,"blissfully","I-CNT"
23,"unto","I-CNT"
24,"generalize","O"
24,"bashfully","O"
24,"romance","O"
24,"considering","O"
24,"manufacturing","O"
24,"remove","B-RT"
24,"a","I-RT"
24,"todo","I-RT"
24,"whereas","B-CNT"
24,".","O"
24,"unlike","O"
24,"signpost","O"
24,"than","O"
24,"done","B-CT"
24,"todo","I-CT"
24,"with","O"
24,"content","O"
24,"though","B-CNT"
24,"repeatedly","I-CNT"
24,"spirited","I-CNT"
24,"savour","I-CNT"
24,"righteously","I-CNT"
24,"skew","I-CNT"
24,"dimly","I-CNT"
25,"diligently","O"
25,"diligently","O"
25,"than","O"
25,"placode","O"
25,"at","O"
25,"not","O"
25,"scrip","O"
25,"meh","O"
25,"clearly","O"
25,"add","B-AT"
25,"a","I-AT"
25,"todo","I-AT"
25,"with","O"
25,"'","O"
25,"antique","B-CNT"
25,"'","O"
25,"then","O"
25,"like","O"
25,"pulley","O"
25,"that","O"
25,"nor","O"
25,"gee","O"
25,"boo","O"
25,"destroy","B-RT"
25,"a","I-RT"
25,"todo","I-RT"
25,"named","O"
25,"'","O"
25,"yahoo","B-CNT"
25,"unfortunately","I-CNT"
25,"bale","I-CNT"
25,"clearly","I-CNT"
25,"which","I-CNT"
25,"'","O"
25,"and","O"
25,"for","O"
25,"around","O"
25,"via","O"
25,"content","O"
25,"create","B-AT"
25,"todo","I-AT"
25,"where","O"
25,"kazoo","B-CNT"
25,"minus","I-CNT"
25,"delectable","I-CNT"
25,"gauntlet","I-CNT"
25,"run","I-CNT"
26,"astrakhan","O"
26,"made-up","O"
26,"courageously","O"
26,"cheerfully","O"
26,"sans","O"
26,"bulge","O"
26,"complete","B-CT"
26,"a","I-CT"
26,"todo","I-CT"
26,"where","O"
26,"daring","B-CNT"
26,"cruise","I-CNT"
26,"blah","I-CNT"
26,"dash","I-CNT"
26,"harmless","I-CNT"
26,"ugh","I-CNT"
26,"incidentally","I-CNT"
26,"underneath","I-CNT"
27,"duh","O"
27,"duh","O"
27,"astride","O"
27,"given","O"
27,"evidence","O"
27,"gee","O"
27,"but","O"
27,"retire","O"
27,"done","B-CT"
27,"todo","I-CT"
27,"containing","O"
27,"subcontract","B-CNT"
27,"likewise","I-CNT"
27,"irresponsible","I-CNT"
27,"generously","I-CNT"
27,"duh","I-CNT"
27,"prescind","I-CNT"
27,"likewise","I-CNT"
27,"brr","I-CNT"
27,"idolized","I-CNT"
27,"after that","O"
27,"despite","O"
27,"done","B-CT"
27,"todo","I-CT"
27,"with","O"
27,"even","B-CNT"
27,"gah","I-CNT"
27,"recompense","I-CNT"
27,"aside","I-CNT"
27,"the","I-CNT"
27,"nanoparticle","I-CNT"
27,"posh","I-CNT"
27,"jubilantly","I-CNT"
27,"versus","I-CNT"
27,".","O"
27,"deeply","O"
27,"add","B-AT"
27,"todo","I-AT"
27,"using","O"
27,"even","B-CNT"
27,"reassure","I-CNT"
28,"sneeze","O"
28,"glean","O"
28,"terrible","O"
28,"pro","O"
28,"hefty","O"
28,"since","O"
28,"delete","B-RT"
28,"a","I-RT"
28,"todo","I-RT"
28,"where","O"
28,"colorfully","B-CNT"
28,"drat","I-CNT"
28,"indeed","I-CNT"
28,"beneath","I-CNT"
28,"disloyal","I-CNT"
28,"save","I-CNT"
28,"till","I-CNT"
28,"and","O"
28,"calculus","O"
28,"but","O"
28,"mark","B-CT"
28,"todo","I-CT"
28,"with","O"
28,"well","B-CNT"
28,"before","I-CNT"
28,"guillotine","I-CNT"
28,"energetically","I-CNT"
28,"fatherly","I-CNT"
28,"tensely","I-CNT"
28,"about","I-CNT"
29,"natter","O"
29,"querulous","O"
29,"of","O"
29,"around","O"
29,"so","O"
29,"gee","O"
29,"troubleshoot","O"
29,"ostrich","O"
29,"handsome","O"
29,"todo","O"
29,"where","O"
29,"'","O"
29,"polite","O"
29,"yippee","O"
29,"discrete","O"
29,"bookmark","O"
29,"sunlight","O"
29,"jubilant","O"
29,"complete","O"
29,"impeccable","O"
29,"after","O"
29,"'","O"
30,"abut","O"
30,"if","O"
30,"or","O"
30,"advanced","O"
30,"pip","O"
30,"but","O"
30,"seemingly","O"
30,"round","O"
30,"misreading","O"
30,"zany","O"
30,"done","B-CT"
30,"a","I-CT"
30,"todo","I-CT"
30,"using","O"
30,"hypothesis","B-CNT"
30,"geez","I-CNT"
30,"along","I-CNT"
30,"dude","I-CNT"
30,"hopelessly","I-CNT"
30,"remote","I-CNT"
30,"whiff","I-CNT"
30,".","O"
30,"joyous","O"
30,"ack","O"
30,"now","O"
30,"inside","O"
30,"gadzooks","O"
30,"where","O"
30,"amazon","O"
30,"barring","O"
30,"add","B-AT"
30,"a","I-AT"
30,"todo","I-AT"
30,"where","O"
30,"whelp","B-CNT"
30,"pace","I-CNT"
30,"yuck","I-CNT"
30,"moreover","O"
30,"although","O"
30,"delete","B-RT"
30,"todo","I-RT"
30,"with","O"
30,"content","O"
30,"knotty","B-CNT"
30,"overdub","I-CNT"
30,"faithfully","I-CNT"
30,"captain","I-CNT"
30,"upon","I-CNT"
30,"woot","I-CNT"
30,"overconfidently","I-CNT"
30,"deceivingly","I-CNT"
30,"hearten","I-CNT"
31,"amid","O"
31,"inside","O"
31,"yum","O"
31,"immortalize","O"
31,"incredible","O"
31,"emission","O"
31,"remove","B-RT"
31,"todo","I-RT"
31,"with","O"
31,"across","B-CNT"
31,"mostly","I-CNT"
31,"a","I-CNT"
31,"huzzah","I-CNT"
31,"partially","I-CNT"
31,"moreover","O"
31,"envision","O"
31,"ugh","O"
31,"somber","O"
31,"rip","O"
31,"boastfully","O"
31,"minnow","O"
31,"quip","O"
31,"calmly","O"
31,"coaxingly","O"
31,"escalator","O"
31,"done","B-CT"
31,"a","I-CT"
31,"todo","I-CT"
31,"containing","O"
31,"however","B-CNT"
32,"silver","O"
32,"add","B-AT"
32,"a","I-AT"
32,"todo","I-AT"
32,"'","O"
32,"breathalyze","B-CNT"
32,"patiently","I-CNT"
32,"before","I-CNT"
32,"'","O"
32,"and","O"
32,"because","O"
32,"yearly","O"
32,"sunbathe","O"
32,"continually","O"
32,"outrage","O"
32,"encircle","O"
32,"where","O"
32,"sharply","O"
32,"now","O"
32,"guilty","O"
32,"destroy","B-RT"
32,"todo","I-RT"
32,"where","O"
32,"junk","B-CNT"
32,"flowery","I-CNT"
32,"joyously","I-CNT"
33,"as","O"
33,"prejudice","O"
33,"favor","O"
33,"absent","O"
33,"legitimate","O"
33,"fatherly","O"
33,"create","B-AT"
33,"todo","I-AT"
33,"using","O"
33,"prune","B-CNT"
33,"scared","I-CNT"
33,"eek","I-CNT"
33,"questionably","I-CNT"
33,"anenst","I-CNT"
33,"which","I-CNT"
33,"raft","I-CNT"
33,"generally","I-CNT"
33,"incandescence","I-CNT"
33,"instead","I-CNT"
33,"moreover","O"
33,"gun","O"
33,"todo","O"
33,"todo","O"
33,"containing","O"
33,"fishtail","O"
33,"ugh","O"
33,"detainee","O"
33,"why","O"
33,"oh","O"
33,"plus","O"
33,"nor","O"
33,"righteously","O"
34,"yum","O"
34,"ugh","O"
34,"attempt","O"
34,"kendo","O"
34,"selfishly","O"
34,"done","B-CT"
34,"todo","I-CT"
34,"using","O"
34,"clip","B-CNT"
34,"harmonize","I-CNT"
34,"then","O"
34,"shyly","O"
34,"down","O"
34,"ray","O"
34,"ouch","O"
34,"affectionate","O"
34,"who","O"
34,"after","O"
34,"mark","B-CT"
34,"a","I-CT"
34,"todo","I-CT"
34,"using","O"
34,"'","O"
34,"because","B-CNT"
34,"yawningly","I-CNT"
34,"water","I-CNT"
34,"'","O"
35,"rework","O"
35,"near","O"
35,"hark","O"
35,"frantically","O"
35,"remove","B-RT"
35,"a","I-RT"
35,"todo","I-RT"
35,"with","O"
35,"content","O"
35,"'","O"
35,"how","B-CNT"
35,"after","I-CNT"
35,"yomp","I-CNT"
35,"worth","I-CNT"
35,"upon","I-CNT"
35,"hourly","I-CNT"
35,"needily","I-CNT"
35,"treasured","I-CNT"
35,"virtuous","I-CNT"
35,"'","O"
35,".","O"
35,"anorak","O"
35,"now","O"
35,"demanding","O"
35,"out","O"
35,"instead","O"
35,"complex","O"
35,"upon","O"
35,"boo","O"
35,"ew","O"
